generation;fitness;q1;q2;home_venue;fitness_sum
620;3984923;1700000;1345000;155000;462803878
621;3984923;1700000;1345000;155000;457260114
622;3984923;1700000;1345000;155000;439144037
623;3984923;1700000;1345000;155000;443650952
624;3924849;1650000;1340000;160000;449453131
625;3924849;1650000;1340000;160000;454929181
626;3924849;1650000;1340000;160000;456340790
627;3924849;1650000;1340000;160000;461749401
628;3924849;1650000;1340000;160000;451344975
629;3924849;1650000;1340000;160000;446968757
630;3924849;1650000;1340000;160000;457544825
631;3924849;1650000;1340000;160000;447342091
632;3924849;1650000;1340000;160000;435926353
633;3924849;1650000;1340000;160000;435784582
634;3924849;1650000;1340000;160000;419397089
635;3924849;1650000;1340000;160000;438227444
636;3924849;1650000;1340000;160000;445860691
637;3924849;1650000;1340000;160000;440525203
638;3924849;1650000;1340000;160000;447038363
639;3924849;1650000;1340000;160000;439840828
640;3924849;1650000;1340000;160000;441346907
641;3924849;1650000;1340000;160000;452838727
642;3924849;1650000;1340000;160000;447885900
643;3924849;1650000;1340000;160000;445145642
644;3924849;1650000;1340000;160000;443741599
645;3924849;1650000;1340000;160000;441093743
646;3924849;1650000;1340000;160000;449657184
647;3924849;1650000;1340000;160000;455712158
648;3924849;1650000;1340000;160000;453059304
649;3924849;1650000;1340000;160000;447158264
650;3924849;1650000;1340000;160000;456280565
651;3924849;1650000;1340000;160000;460669132
652;3924849;1650000;1340000;160000;450479392
653;3924849;1650000;1340000;160000;447200795
654;3924849;1650000;1340000;160000;438419321
655;3924849;1650000;1340000;160000;444695708
656;3924849;1650000;1340000;160000;436688753
657;3924849;1650000;1340000;160000;439150028
658;3924849;1650000;1340000;160000;433436782
659;3924849;1650000;1340000;160000;437905316
660;3924849;1650000;1340000;160000;430927834
